#	標題	描述	經緯度	Naver Map 連結
1	1人1杯	絕美環景	37.6410605,126.9378889	https://map.naver.com/p/search/37.6410605%2C126.9378889
2	43 Gyeongdongsijang-ro 12-gil	🏠🏠住宿	37.5822619,127.0430922	https://map.naver.com/p/search/37.5822619%2C127.0430922
3	第三隧道	分界線	37.916653,126.6982609	https://map.naver.com/p/search/37.916653%2C126.6982609
4	Hotel Charis	婚禮會場	37.526314,126.72302	https://map.naver.com/p/search/37.526314%2C126.72302
5	恩平韓屋村	韓屋村！	37.6413191,126.939204	https://map.naver.com/p/search/37.6413191%2C126.939204
6	Dotom	在地人烤肉店	37.5563161,127.0779539	https://map.naver.com/p/search/37.5563161%2C127.0779539
7	樂天超級市場 世界塔店	-	37.5141637,127.1048524	https://map.naver.com/p/search/37.5141637%2C127.1048524
8	大使館換錢所	-	37.5621715,126.9824736	https://map.naver.com/p/search/37.5621715%2C126.9824736
9	Maljillo	生魚片	37.5647499,127.0202449	https://map.naver.com/p/search/37.5647499%2C127.0202449
10	훼미리손칼국수보쌈	菜包肉 刀削麵	37.5494775,127.0446801	https://map.naver.com/p/search/37.5494775%2C127.0446801
11	Jayeondo Sogeumppang	自然島鹽麵包	37.5423017,127.0554582	https://map.naver.com/p/search/37.5423017%2C127.0554582
12	Kyewol Gomtang	湯飯	37.5395267,127.0476224	https://map.naver.com/p/search/37.5395267%2C127.0476224
13	Thweet Seongsu	威士忌冰淇淋	37.5446613,127.051779	https://map.naver.com/p/search/37.5446613%2C127.051779
14	仁王山	登山口	37.5849489,126.9593042	https://map.naver.com/p/search/37.5849489%2C126.9593042
15	Mangrove Dongdaemun	-	37.5641553,127.0085995	https://map.naver.com/p/search/37.5641553%2C127.0085995
16	Terarosa Posco Centre	手沖咖啡	37.50579,127.0561533	https://map.naver.com/p/search/37.50579%2C127.0561533
17	MilkyShop Seongsu	焦糖奶油餅乾	37.5439021,127.0506952	https://map.naver.com/p/search/37.5439021%2C127.0506952
18	Kodak Corner Shop	周邊很可愛	37.5431112,127.0543075	https://map.naver.com/p/search/37.5431112%2C127.0543075
19	Ediya Coffee Lab.	咖啡甜點	37.5104556,127.0328766	https://map.naver.com/p/search/37.5104556%2C127.0328766
20	祖傳三代馬鈴薯排骨湯	24H	37.5428241,127.0543732	https://map.naver.com/p/search/37.5428241%2C127.0543732
21	Hollys Coffee Hongik	24小時	37.5548054,126.922737	https://map.naver.com/p/search/37.5548054%2C126.922737
22	Debunk	適合工作	37.5479164,126.9150843	https://map.naver.com/p/search/37.5479164%2C126.9150843
23	Blue Elephant Space	墨鏡品牌	37.5426718,127.0553783	https://map.naver.com/p/search/37.5426718%2C127.0553783
24	브라우터 강남	蝴蝶餅	37.5043637,127.0036211	https://map.naver.com/p/search/37.5043637%2C127.0036211
25	29cm.home	家居選物	37.5425599,127.0557579	https://map.naver.com/p/search/37.5425599%2C127.0557579
26	Cociety	週一公休	37.5447703,127.0456715	https://map.naver.com/p/search/37.5447703%2C127.0456715
27	로에 성수 LOE	香水 免費刻字	37.5424182,127.0562153	https://map.naver.com/p/search/37.5424182%2C127.0562153
28	HAUS NOWHERE SEOUL	大狗狗！	37.5380654,127.0589486	https://map.naver.com/p/search/37.5380654%2C127.0589486
29	Artist Bakery	鹽可頌	37.576219,126.984271	https://map.naver.com/p/search/37.576219%2C126.984271
30	Standard Bread	法式吐司	37.5416751,127.0611416	https://map.naver.com/p/search/37.5416751%2C127.0611416
31	Neungdong Minari	水芹牛骨湯	37.542748,127.0539607	https://map.naver.com/p/search/37.542748%2C127.0539607
32	소현당 게스트하우스	韓屋茶室	37.5788782,126.9817678	https://map.naver.com/p/search/37.5788782%2C126.9817678
33	STAFF PICKS	美咖啡廳	37.5774665,126.9679737	https://map.naver.com/p/search/37.5774665%2C126.9679737
